Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-03-05 23:00:00,1270,1273,1267.18,1273,209.02,265380.56,1269.64
2017-03-06 0:00:00,1269.98,1273,1267.29,1268.29,38.01,48234.9,1269.17
2017-03-06 1:00:00,1268.29,1273,1267.3,1270.86,220.29,280072.46,1271.39
2017-03-06 2:00:00,1270.72,1273.97,1268.16,1268.16,90.72,115268.37,1270.57
2017-03-06 3:00:00,1268.16,1271,1266,1267,21.73,27538.09,1267.56
2017-03-06 4:00:00,1267,1267,1251,1262.35,403.92,508941.63,1260.01
2017-03-06 5:00:00,1261.5,1264.86,1260,1260.11,11.05,13950.92,1262.8
2017-03-06 6:00:00,1260.8,1268,1260.8,1266.77,76.16,96477.29,1266.73
2017-03-06 7:00:00,1264.42,1273.18,1264.42,1273,81.37,103352.64,1270.1
2017-03-06 8:00:00,1273.06,1278.96,1271.01,1278.67,383.22,489042.84,1276.16
2017-03-06 9:00:00,1278.67,1278.99,1274.62,1276.62,161.02,205679.89,1277.36
2017-03-06 10:00:00,1276.62,1282.33,1276.62,1282.33,340.21,435418.03,1279.85
2017-03-06 11:00:00,1281,1281.68,1275.58,1279.55,121.75,155780.15,1279.51
2017-03-06 12:00:00,1277.01,1282.32,1277,1282.26,323.47,414061.22,1280.05
2017-03-06 13:00:00,1282.26,1285,1270.04,1279.9,319,408548.52,1280.7
2017-03-06 14:00:00,1276.54,1281,1276.52,1279.95,111.59,142697.78,1278.8
2017-03-06 15:00:00,1279.9,1281.62,1277.56,1279.01,287.69,368205.25,1279.87
2017-03-06 16:00:00,1279.01,1280,1272.02,1276.52,286.52,366114.49,1277.8
2017-03-06 17:00:00,1276.15,1279.73,1274.6,1278.75,71.69,91559.2,1277.08
2017-03-06 18:00:00,1279.01,1279.01,1274.92,1276.91,111.02,141653.59,1275.95
2017-03-06 19:00:00,1276.91,1279.85,1275,1277.75,180.42,230368.07,1276.86
2017-03-06 20:00:00,1277.71,1279,1272,1278.37,172.56,220155.98,1275.79
2017-03-06 21:00:00,1278.37,1280.46,1276,1276.47,300.94,384658.24,1278.18
2017-03-06 22:00:00,1276,1281,1276,1278.74,115.51,147685.87,1278.55
2017-03-06 23:00:00,1278.74,1279.98,1278.01,1278.49,19.79,25307.52,1278.89
2017-03-07 0:00:00,1278.49,1278.99,1277.37,1277.78,126.86,162126.62,1278.04
2017-03-07 1:00:00,1278.4,1278.41,1276,1277.98,186.55,238236.81,1277.06
2017-03-07 2:00:00,1278.39,1281.62,1276.97,1278,55.45,70969.93,1279.89
2017-03-07 3:00:00,1277.43,1279.96,1276,1278.28,22.73,29042.76,1277.76
2017-03-07 4:00:00,1278.28,1278.28,1260.62,1263.22,394.73,500920.17,1269.03
2017-03-07 5:00:00,1266.26,1273.76,1262.31,1270,141.99,179929.02,1267.18
2017-03-07 6:00:00,1270,1273.43,1265.78,1272.01,190.41,241831.22,1270.06
2017-03-07 7:00:00,1272.01,1275.29,1270.1,1275.1,130.52,166118.56,1272.73
2017-03-07 8:00:00,1274.74,1276,1265.01,1269.06,337.41,428910.38,1271.19
2017-03-07 9:00:00,1267.15,1270,1232,1257.98,1760,2204479.81,1252.55
2017-03-07 10:00:00,1257.01,1258.97,1244.01,1253.7,548.38,685642.8,1250.3
2017-03-07 11:00:00,1254.11,1256.25,1175.97,1210.02,3406.47,4127477.8,1211.66
2017-03-07 12:00:00,1212.21,1235,1200.01,1234.1,1562.31,1897164.55,1214.33
2017-03-07 13:00:00,1234.1,1240.07,1224.04,1238.98,509.23,628129.57,1233.48
2017-03-07 14:00:00,1238.14,1241,1227,1232.76,376.81,464821.28,1233.57
2017-03-07 15:00:00,1232.55,1233,1226.03,1232.32,437.99,538414.56,1229.28
2017-03-07 16:00:00,1231.03,1252.75,1231,1250.16,795.87,986758.14,1239.85
2017-03-07 17:00:00,1251.79,1268,1246.22,1255.46,1510.63,1901609.64,1258.82
2017-03-07 18:00:00,1256.04,1257.91,1249.97,1250.87,315.48,395221.29,1252.76
2017-03-07 19:00:00,1250.86,1253.24,1248.01,1253.24,322.24,402995.46,1250.61
2017-03-07 20:00:00,1253.23,1254.9,1241.32,1243.01,303.28,378615.55,1248.4
2017-03-07 21:00:00,1242.81,1249.43,1242.81,1245.4,209.14,260836.96,1247.18
2017-03-07 22:00:00,1245.4,1246.51,1231,1232,417.98,518350.33,1240.12
2017-03-07 23:00:00,1232,1245.46,1231,1233.05,387.58,479146.4,1236.25
2017-03-08 0:00:00,1233.86,1242,1231.5,1236.34,98.16,121387.36,1236.65
2017-03-08 1:00:00,1237,1245.49,1235.01,1240.46,173.43,215060.55,1240.03
2017-03-08 2:00:00,1240.64,1241.85,1233.32,1234.42,34.97,43265.37,1237.38
2017-03-08 3:00:00,1234.58,1236.46,1207.11,1209.99,527.64,644655.35,1221.76
2017-03-08 4:00:00,1209.97,1223.14,1190,1196.91,1185.63,1425903.66,1202.66
2017-03-08 5:00:00,1197.5,1209.38,1181,1189.34,1008.08,1202205.09,1192.57
2017-03-08 6:00:00,1190.3,1205,1170,1172.93,773.74,916896.71,1185.01
2017-03-08 7:00:00,1173.16,1188.84,1160,1185.43,756.45,888833.23,1175
2017-03-08 8:00:00,1186.31,1209.1,1167.49,1205.06,770.36,920004.5,1194.25
2017-03-08 9:00:00,1203.57,1211,1202.06,1211,214.83,259256.13,1206.79
2017-03-08 10:00:00,1211,1229.19,1207.59,1216.94,617.73,753055.27,1219.06
2017-03-08 11:00:00,1216,1219.05,1200.55,1206.63,252.58,305232.35,1208.46
2017-03-08 12:00:00,1203.03,1214.76,1197.1,1200.6,298.36,359267.57,1204.13
2017-03-08 13:00:00,1200.61,1213.44,1200.57,1201,253.13,305388.9,1206.45
2017-03-08 14:00:00,1201.94,1206.04,1186,1190.4,553.1,661148.31,1195.34
2017-03-08 15:00:00,1190.41,1193.89,1175.59,1187.14,660.1,781913.24,1184.54
2017-03-08 16:00:00,1187.01,1199,1179.81,1195.94,850.73,1011990.06,1189.55
